	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3
577	2016	Mumbai	2016-04-09	Mumbai Indians	Rising Pune Supergiants	Mumbai Indians	bat	normal	0	Rising Pune Supergiants	0	9	AM Rahane	Wankhede Stadium	HDPK Dharmasena	CK Nandan	
578	2016	Kolkata	2016-04-10	Delhi Daredevils	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	9	AD Russell	Eden Gardens	S Ravi	C Shamshuddin	
579	2016	Chandigarh	2016-04-11	Kings XI Punjab	Gujarat Lions	Gujarat Lions	field	normal	0	Gujarat Lions	0	5	AJ Finch	Punjab Cricket Association IS Bindra Stadium, Mohali	AK Chaudhary	VA Kulkarni	
580	2016	Bangalore	2016-04-12	Royal Challengers Bangalore	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	0	Royal Challengers Bangalore	45	0	AB de Villiers	M Chinnaswamy Stadium	HDPK Dharmasena	VK Sharma	
581	2016	Kolkata	2016-04-13	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	6	RG Sharma	Eden Gardens	Nitin Menon	S Ravi	
582	2016	Rajkot	2016-04-14	Rising Pune Supergiants	Gujarat Lions	Rising Pune Supergiants	bat	normal	0	Gujarat Lions	0	7	AJ Finch	Saurashtra Cricket Association Stadium	VA Kulkarni	CK Nandan	
583	2016	Delhi	2016-04-15	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	8	A Mishra	Feroz Shah Kotla	S Ravi	C Shamshuddin	
584	2016	Hyderabad	2016-04-16	Sunrisers Hyderabad	Kolkata Knight Riders	Sunrisers Hyderabad	bat	normal	0	Kolkata Knight Riders	0	8	G Gambhir	Rajiv Gandhi International Stadium, Uppal	AK Chaudhary	CK Nandan	
585	2016	Mumbai	2016-04-16	Mumbai Indians	Gujarat Lions	Gujarat Lions	field	normal	0	Gujarat Lions	0	3	AJ Finch	Wankhede Stadium	HDPK Dharmasena	VK Sharma	
586	2016	Chandigarh	2016-04-17	Rising Pune Supergiants	Kings XI Punjab	Rising Pune Supergiants	bat	normal	0	Kings XI Punjab	0	6	M Vohra	Punjab Cricket Association IS Bindra Stadium, Mohali	S Ravi	C Shamshuddin	
587	2016	Bangalore	2016-04-17	Royal Challengers Bangalore	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	7	Q de Kock	M Chinnaswamy Stadium	VA Kulkarni	A Nand Kishore	
588	2016	Hyderabad	2016-04-18	Mumbai Indians	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	0	Sunrisers Hyderabad	0	7	DA Warner	Rajiv Gandhi International Stadium, Uppal	HDPK Dharmasena	VK Sharma	
589	2016	Chandigarh	2016-04-19	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	6	RV Uthappa	Punjab Cricket Association IS Bindra Stadium, Mohali	S Ravi	C Shamshuddin	
590	2016	Mumbai	2016-04-20	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	6	RG Sharma	Wankhede Stadium	AK Chaudhary	CK Nandan	
591	2016	Rajkot	2016-04-21	Gujarat Lions	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	0	Sunrisers Hyderabad	0	10	B Kumar	Saurashtra Cricket Association Stadium	K Bharatan	HDPK Dharmasena	
592	2016	Pune	2016-04-22	Royal Challengers Bangalore	Rising Pune Supergiants	Rising Pune Supergiants	field	normal	0	Royal Challengers Bangalore	13	0	AB de Villiers	Maharashtra Cricket Association Stadium	CB Gaffaney	VK Sharma	
593	2016	Delhi	2016-04-23	Delhi Daredevils	Mumbai Indians	Mumbai Indians	field	normal	0	Delhi Daredevils	10	0	SV Samson	Feroz Shah Kotla	S Ravi	C Shamshuddin	
594	2016	Hyderabad	2016-04-23	Kings XI Punjab	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	0	Sunrisers Hyderabad	0	5	Mustafizur Rahman	Rajiv Gandhi International Stadium, Uppal	AK Chaudhary	CK Nandan	
595	2016	Rajkot	2016-04-24	Royal Challengers Bangalore	Gujarat Lions	Royal Challengers Bangalore	bat	normal	0	Gujarat Lions	0	6	V Kohli	Saurashtra Cricket Association Stadium	K Bharatan	BNJ Oxenford	
596	2016	Pune	2016-04-24	Rising Pune Supergiants	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	2	SA Yadav	Maharashtra Cricket Association Stadium	CB Gaffaney	A Nand Kishore	
597	2016	Chandigarh	2016-04-25	Mumbai Indians	Kings XI Punjab	Kings XI Punjab	field	normal	0	Mumbai Indians	25	0	PA Patel	Punjab Cricket Association IS Bindra Stadium, Mohali	Nitin Menon	RJ Tucker	
598	2016	Hyderabad	2016-04-26	Sunrisers Hyderabad	Rising Pune Supergiants	Rising Pune Supergiants	field	normal	1	Rising Pune Supergiants	34	0	AB Dinda	Rajiv Gandhi International Stadium, Uppal	AY Dandekar	CK Nandan	
599	2016	Delhi	2016-04-27	Gujarat Lions	Delhi Daredevils	Delhi Daredevils	field	normal	0	Gujarat Lions	1	0	CH Morris	Feroz Shah Kotla	M Erasmus	S Ravi	
600	2016	Mumbai	2016-04-28	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	6	RG Sharma	Wankhede Stadium	Nitin Menon	RJ Tucker	
601	2016	Pune	2016-04-29	Rising Pune Supergiants	Gujarat Lions	Gujarat Lions	field	normal	0	Gujarat Lions	0	3	DR Smith	Maharashtra Cricket Association Stadium	CB Gaffaney	BNJ Oxenford	
602	2016	Delhi	2016-04-30	Delhi Daredevils	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Delhi Daredevils	27	0	CR Brathwaite	Feroz Shah Kotla	KN Ananthapadmanabhan	M Erasmus	
603	2016	Hyderabad	2016-04-30	Sunrisers Hyderabad	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Sunrisers Hyderabad	15	0	DA Warner	Rajiv Gandhi International Stadium, Uppal	AK Chaudhary	HDPK Dharmasena	
604	2016	Rajkot	2016-05-01	Kings XI Punjab	Gujarat Lions	Gujarat Lions	field	normal	0	Kings XI Punjab	23	0	AR Patel	Saurashtra Cricket Association Stadium	BNJ Oxenford	VK Sharma	
605	2016	Pune	2016-05-01	Rising Pune Supergiants	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	8	RG Sharma	Maharashtra Cricket Association Stadium	AY Dandekar	RJ Tucker	
606	2016	Bangalore	2016-05-02	Royal Challengers Bangalore	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	5	AD Russell	M Chinnaswamy Stadium	M Erasmus	S Ravi	
607	2016	Rajkot	2016-05-03	Gujarat Lions	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	8	RR Pant	Saurashtra Cricket Association Stadium	CB Gaffaney	BNJ Oxenford	
608	2016	Kolkata	2016-05-04	Kolkata Knight Riders	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kolkata Knight Riders	7	0	AD Russell	Eden Gardens	AK Chaudhary	HDPK Dharmasena	
609	2016	Delhi	2016-05-05	Delhi Daredevils	Rising Pune Supergiants	Rising Pune Supergiants	field	normal	0	Rising Pune Supergiants	0	7	AM Rahane	Feroz Shah Kotla	C Shamshuddin	RJ Tucker	
610	2016	Hyderabad	2016-05-06	Gujarat Lions	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	0	Sunrisers Hyderabad	0	5	B Kumar	Rajiv Gandhi International Stadium, Uppal	M Erasmus	S Ravi	
611	2016	Bangalore	2016-05-07	Rising Pune Supergiants	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	7	V Kohli	M Chinnaswamy Stadium	CB Gaffaney	BNJ Oxenford	
612	2016	Chandigarh	2016-05-07	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	field	normal	0	Kings XI Punjab	9	0	MP Stoinis	Punjab Cricket Association IS Bindra Stadium, Mohali	HDPK Dharmasena	CK Nandan	
613	2016	Visakhapatnam	2016-05-08	Sunrisers Hyderabad	Mumbai Indians	Mumbai Indians	field	normal	0	Sunrisers Hyderabad	85	0	A Nehra	Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium	S Ravi	C Shamshuddin	
614	2016	Kolkata	2016-05-08	Kolkata Knight Riders	Gujarat Lions	Gujarat Lions	field	normal	0	Gujarat Lions	0	5	P Kumar	Eden Gardens	M Erasmus	RJ Tucker	
615	2016	Chandigarh	2016-05-09	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	0	Royal Challengers Bangalore	1	0	SR Watson	Punjab Cricket Association IS Bindra Stadium, Mohali	AK Chaudhary	HDPK Dharmasena	
616	2016	Visakhapatnam	2016-05-10	Sunrisers Hyderabad	Rising Pune Supergiants	Sunrisers Hyderabad	bat	normal	0	Sunrisers Hyderabad	4	0	A Zampa	Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium	CB Gaffaney	VK Sharma	
617	2016	Bangalore	2016-05-11	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	6	KH Pandya	M Chinnaswamy Stadium	AY Dandekar	C Shamshuddin	
618	2016	Hyderabad	2016-05-12	Sunrisers Hyderabad	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	7	CH Morris	Rajiv Gandhi International Stadium, Uppal	K Bharatan	M Erasmus	
619	2016	Visakhapatnam	2016-05-13	Mumbai Indians	Kings XI Punjab	Mumbai Indians	bat	normal	0	Kings XI Punjab	0	7	MP Stoinis	Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium	HDPK Dharmasena	CK Nandan	
620	2016	Bangalore	2016-05-14	Royal Challengers Bangalore	Gujarat Lions	Gujarat Lions	field	normal	0	Royal Challengers Bangalore	144	0	AB de Villiers	M Chinnaswamy Stadium	AY Dandekar	VK Sharma	
621	2016	Kolkata	2016-05-14	Rising Pune Supergiants	Kolkata Knight Riders	Rising Pune Supergiants	bat	normal	1	Kolkata Knight Riders	0	8	YK Pathan	Eden Gardens	A Nand Kishore	BNJ Oxenford	
622	2016	Chandigarh	2016-05-15	Kings XI Punjab	Sunrisers Hyderabad	Kings XI Punjab	bat	normal	0	Sunrisers Hyderabad	0	7	HM Amla	Punjab Cricket Association IS Bindra Stadium, Mohali	KN Ananthapadmanabhan	M Erasmus	
623	2016	Visakhapatnam	2016-05-15	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	0	Mumbai Indians	80	0	KH Pandya	Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium	Nitin Menon	CK Nandan	
624	2016	Kolkata	2016-05-16	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	9	V Kohli	Eden Gardens	CB Gaffaney	A Nand Kishore	
625	2016	Visakhapatnam	2016-05-17	Delhi Daredevils	Rising Pune Supergiants	Rising Pune Supergiants	field	normal	1	Rising Pune Supergiants	19	0	AB Dinda	Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium	Nitin Menon	C Shamshuddin	
626	2016	Bangalore	2016-05-18	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	1	Royal Challengers Bangalore	82	0	V Kohli	M Chinnaswamy Stadium	KN Ananthapadmanabhan	M Erasmus	
627	2016	Kanpur	2016-05-19	Kolkata Knight Riders	Gujarat Lions	Gujarat Lions	field	normal	0	Gujarat Lions	0	6	DR Smith	Green Park	AK Chaudhary	CK Nandan	
628	2016	Raipur	2016-05-20	Sunrisers Hyderabad	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	6	KK Nair	Shaheed Veer Narayan Singh International Stadium	A Nand Kishore	BNJ Oxenford	
629	2016	Visakhapatnam	2016-05-21	Kings XI Punjab	Rising Pune Supergiants	Kings XI Punjab	bat	normal	0	Rising Pune Supergiants	0	4	MS Dhoni	Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium	HDPK Dharmasena	Nitin Menon	
630	2016	Kanpur	2016-05-21	Mumbai Indians	Gujarat Lions	Gujarat Lions	field	normal	0	Gujarat Lions	0	6	SK Raina	Green Park	AK Chaudhary	CK Nandan	
631	2016	Kolkata	2016-05-22	Kolkata Knight Riders	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	0	Kolkata Knight Riders	22	0	YK Pathan	Eden Gardens	KN Ananthapadmanabhan	M Erasmus	
632	2016	Raipur	2016-05-22	Delhi Daredevils	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	6	V Kohli	Shaheed Veer Narayan Singh International Stadium	A Nand Kishore	BNJ Oxenford	
633	2016	Bangalore	2016-05-24	Gujarat Lions	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	4	AB de Villiers	M Chinnaswamy Stadium	AK Chaudhary	HDPK Dharmasena	
634	2016	Delhi	2016-05-25	Sunrisers Hyderabad	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Sunrisers Hyderabad	22	0	MC Henriques	Feroz Shah Kotla	M Erasmus	C Shamshuddin	
635	2016	Delhi	2016-05-27	Gujarat Lions	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	0	Sunrisers Hyderabad	0	4	DA Warner	Feroz Shah Kotla	M Erasmus	CK Nandan	
636	2016	Bangalore	2016-05-29	Sunrisers Hyderabad	Royal Challengers Bangalore	Sunrisers Hyderabad	bat	normal	0	Sunrisers Hyderabad	8	0	BCJ Cutting	M Chinnaswamy Stadium	HDPK Dharmasena	BNJ Oxenford	